dish_id,dish_name,japanese_name,region_id,primary_prefecture_id,summary,seasons,tags,dietary_guidance,price_min,price_max,content_status,home_filter_tags,vegetarian_status,halal_status,featured,origin_history_preview,origin_history_full,did_you_know,key_ingredients,pronunciation_phonetic,pronunciation_audio_url,visual_cues,google_maps_query
aochu,Aochu,青酎,kanto,tokyo,"A rare artisanal sweet potato shochu distilled exclusively on the isolated volcanic island of Aogashima. Crafted by local islanders using indigenous yeast strains and sweet potatoes, it delivers a robust earthy aroma with a complex, velvety finish.",All year,local specialty,Contains none. Vegan-friendly.,2000,5000,Published,Vegetarian;Halal,Verified vegetarian,Verified halal,TRUE,"Distilled since the Edo period by island women as a household drink, it evolved into a prized craft spirit shaped by the island's fertile volcanic soil and subtropical climate.",,"Because production is strictly limited to Aogashima's tiny population, it is nationally revered as the phantom shochu.","01 Local Sweet Potatoes
Sun-ripened sweet potatoes harvested from the rich volcanic soil of Aogashima.; 02 Barley Koji
Steamed barley inoculated with koji mold to initiate natural starch conversion.; 03 Volcanic Basalt Water
Pure rainfall filtered through porous subterranean layers of volcanic basalt rock.",ah-oh-choo,,"Crystal Clear Spirit
A pristine transparent liquid that presents clean clarity when poured into a glass.; Hand-Labeled Glass Bottle
Enclosed in traditional heavy glass bottles featuring distinct island calligraphy seals.; Gentle Viscous Rim
Forms slow-dripping legs along the inner rim of the tasting glass upon swirling.",Link
hingya-no-shio,Hingya no Shio,ひんぎゃの塩,kanto,tokyo,"A mineral-rich gourmet sea salt crystallized using the natural geothermal steam of Aogashima volcano. Deep Kuroshio ocean water is slowly evaporated over gentle volcanic steam vents to yield crunchy, savory salt pyramids.",All year,local specialty,Contains none. Vegan-friendly.,600,1500,Published,Vegetarian;Halal;Quick bite,Verified vegetarian,Verified halal,TRUE,"The name 'Hingya' refers to the volcanic steam vents on the island. This salt-making method harnesses the island's natural geothermal energy, a practice deeply tied to Aogashima's volcanic landscape.",,"It takes weeks of slow evaporation over the volcanic vents to produce this salt, resulting in its signature large, crunchy crystals.","01 Kuroshio Pacific Water
Pure deep ocean water drawn directly from the swift Pacific Kuroshio current.; 02 Natural Sea Minerals
Naturally occurring calcium and magnesium retained during low-temperature evaporation.",heen-gyah no shee-oh,,"Coarse White Crystals
Fluffy pyramid-shaped white salt crystals showcasing a soft translucent sheen.; Craft Paper Pouch
Packaged in minimalist brown kraft pouches stamped with official island seals.; Uneven Flake Texture
Distinctly varied crystal sizes that crumble effortlessly between fingertips.",Link
haijima-highball,Haijima Highball,拝島ハイボール,kanto,tokyo,"A signature local highball crafted in Akishima City using crisp underground spring water. Mixed with quality Japanese whisky and effervescent soda, it offers a clean, ultra-refreshing taste.",All year,local specialty,Contains none. Vegetarian-friendly.,500,900,Published,Vegetarian;Quick bite;Dine-in,Verified vegetarian,Not reviewed,TRUE,"Created to celebrate the local drinking culture around Haijima Station, this highball has become a beloved staple in the area's izakayas.",,Akishima is famous for being the only municipality in Tokyo providing 100% pure underground water for tap supply.,"01 Japanese Blended Whisky
Smooth oak-aged Japanese malt whisky selected for clean aromatic balance.; 02 Akishima Spring Water Soda
Highly carbonated sparkling water crafted from pure Akishima deep subterranean wells.; 03 Fresh Lemon Wedge
Freshly sliced citrus wedge adding bright acidity and aromatic zest.",hah-ee-jee-mah hye-bohl,,"Effervescent Amber Liquid
Golden amber whisky cocktail brimming with tight carbonation bubbles rising to the top.; Tall Chilled Glassware
Served over crystalline ice blocks in a heavy-bottomed frosted highball glass.; Fresh Citrus Slice
Garnished with a crisp wedge of fresh yellow lemon resting on the ice.",Link
haijima-negi-miso,Haijima Negi Miso,拝島ねぎみそ,kanto,tokyo,A rich savory condiment prepared by sautéing locally grown green onions with aromatic fermented miso paste. It delivers an intense umami punch with sweet caramelized onion notes perfect over warm rice.,All year,local specialty,"Contains Soy, Sesame. Vegan-friendly.",450,850,Published,Vegetarian;Halal;Quick bite,Verified vegetarian,Verified halal,TRUE,Originating as a farmstead preserving method in western Tokyo to extend the shelf life of seasonal scallion harvests.,,This versatile miso paste is commonly spread over rice balls before charcoal grilling to create fragrant yaki-onigiri.,"01 Fresh Haijima Scallions
Locally harvested sweet green onions chopped fine for tender texture.; 02 Fermented Rice Miso
Aged red and white soy miso paste delivering deep savory depth.; 03 Toasted Sesame Oil
Pure roasted sesame oil added during pan-sautéing for nutty fragrance.",hah-ee-jee-mah neh-gee mee-so,,"Deep Glossy Brown Paste
A thick caramelized dark brown miso paste with visible specks of green scallions.; Traditional Glass Jar
Sealed inside compact glass jars labeled with traditional Japanese brushed brushwork.; Chunky Onion Pieces
Features tender translucent pieces of diced green onion folded throughout the paste.",Link
akigawa-sweet-corn,Akigawa Sweet Corn,秋川とうもろこし,kanto,tokyo,"Exceptionally sweet and juicy corn cultivated along the fertile riverbanks of the Akigawa Valley in Akiruno City. Plucked early in the morning, these golden kernels are so crisp and sweet they can even be enjoyed raw.",Summer,local specialty,Contains none. Vegan-friendly.,250,500,Published,Vegetarian;Halal;Quick bite,Verified vegetarian,Verified halal,TRUE,The pure waters of the Akigawa River and the valley's distinct temperature differences create the perfect environment for cultivating this premium corn.,,"During the summer harvest season, you'll find local farmers boiling or grilling these sweet cobs right by the roadside!","01 Fresh Sweet Corn Ears
Morning-harvested sweet corn grown in river mineral soils.; 02 Sweet Butter Dip
Creamy Hokkaido butter melted over grilled cob ears.; 03 Soy Sauce Drizzle
Aged soy sauce brushed over open flame for savory glaze.",ah-kee-gah-wah toh-moh-roh-koh-she,,"Plump Golden Kernels
Tightly packed rows of shiny bright yellow kernels glowing with fresh moisture.; Bright Green Husk
Wrapped in crisp leafy green husks with dark brown corn silk at the tip.; Charred Butter Glaze
When grilled, features attractive brown char marks coated in glistening melted butter.",Link
norabou-na,Norabou-na,のらぼう菜,kanto,tokyo,"A tender local leafy green with crisp stems and a mild, sweet flavor, traditionally grown in western Tokyo. Norabou-na is valued for its edible stems and leaves and is commonly prepared simply by boiling, blanching, or stir-frying so its fresh green flavor remains clear.",Spring,local specialty,"Vegan, Gluten-free",150,400,Published,Vegetarian;Halal,Verified vegetarian,Verified halal,TRUE,Norabou-na is an old Tokyo-area vegetable associated with western suburban farming and has been cultivated in the Akiruno area for generations. Its continued use reflects traditional household vegetable growing and seasonal spring cooking rather than a single inventor.,,"The stalks and leaves can be eaten together, making it less wasteful than greens that require extensive trimming. Harvested stems are especially prized for their tender bite.","01 Norabou-na Leaves
 Tender leaves provide a mild green flavor and soft texture.; 02 Norabou-na Stems
 The thick stems add crispness and remain pleasantly firm after brief cooking.; 03 Light Seasoning
 Soy sauce, sesame, or simple dashi-based seasoning lets the vegetable's sweetness remain noticeable.",noh-rah-boh-nah,,"Long Tender Stems
 Sturdy pale-green stems support clusters of soft leaves and are fully edible.; Fresh Leafy Green
 The leaves range from medium to deep green and look succulent rather than fibrous.; Simple Cooked Presentation
 A lightly cooked serving keeps the vegetable's natural color and clean, mild appearance.",Link
bunka-fry,Bunka Fry,文化フライ,kanto,tokyo,"A distinctive Adachi street snack made from seasoned wheat dough shaped into a flat, sandal-like form, coated with breadcrumbs, and deep-fried. The finished fritter is lightly sweet, crisp outside, soft inside, and traditionally served hot with a generous amount of special sauce.",All year,local specialty,"Contains wheat, soy",100,300,Published,Quick bite,Not reviewed,Not reviewed,FALSE,"Bunka Fry was devised by Hasegawa Shoten in Umeda, Adachi Ward, and became a familiar festival-stall snack in the postwar period. It survived mainly through local memory after regular street-stall production declined around 2001.",,"Despite its name, Bunka Fry contains no meat or fish in the basic preparation. It is a flour-based snack whose character comes from the crisp coating, slight sweetness, and savory sauce.","01 Wheat Dough
 A simple wheat-flour dough forms the soft, chewy center.; 02 Breadcrumbs
 Breadcrumbs create the crisp fried shell and browned exterior.; 03 Special Sauce
 The signature sauce adds sweetness, saltiness, and concentrated savory flavor.",boon-kah foo-rye,,"Flat Oval Fritter
 A thin, elongated fried piece has the characteristic flattened shape.; Crisp Breadcrumb Crust
 Fine breadcrumbs form a golden exterior around the soft flour-based center.; Sauce-Finished Surface
 A dark, glossy sauce is brushed or poured over the freshly fried snack.",Link
senju-no-suzumeyaki,Senju no Suzumeyaki,千住のすずめ焼き,kanto,tokyo,"A traditional Senju-style small-fish dish in which whole small fish are skewered and grilled with a savory-sweet glaze. The name refers to their small, sparrow-like appearance, while the preparation belongs to the old river-and-market food culture of the Senju area.",All year,local specialty,"Contains fish, soy",500,1200,Published,Dine-in,Not reviewed,Not reviewed,FALSE,"Suzumeyaki is associated with the historic food culture around Senju, where small freshwater fish were preserved and sold as a practical local food. The surviving style reflects Edo-period riverine cooking rather than a single documented inventor.",,"The name evokes grilled sparrows, but it describes the fish's small appearance, not the bird itself. Eating it with the glaze highlights the contrast between crisp edges and tender fish.","01 Small Freshwater Fish
 Small fish such as crucian carp or similar local species form the traditional base.; 02 Soy Sauce-Based Glaze
 Soy sauce provides saltiness and umami while developing a dark finish during grilling.; 03 Sweet Cooking Seasoning
 Sugar or mirin balances the glaze and helps it adhere to the fish.",sen-joo no soo-zoo-meh-yah-kee,,"Small Whole Fish
 Tiny fish are arranged whole on narrow bamboo skewers.; Dark Soy Glaze
 Repeated brushing gives the grilled fish a deep brown, glossy surface.; Compact Skewered Serve
 The small format makes the dish visually similar to a row of roasted birds.",Link
yarikake-dango,Yarikake Dango,槍かけだんご,kanto,tokyo,"A traditional rice dumpling specialty associated with Senju, formed from chewy rice-flour dumplings on skewers and finished with a sweet or savory topping. The name is linked to a local story about resting a spear, while the dumplings are enjoyed as a simple old-fashioned snack.",All year,local specialty,"Vegan, Gluten-free",150,500,Published,Vegetarian;Halal;Quick bite,Verified vegetarian,Verified halal,TRUE,Yarikake Dango is tied to the old Senju travel and lodging area and its famous legend about a spear being rested nearby. The dumpling tradition belongs to the historic neighborhood food culture and is preserved through long-running local confectionery shops.,,The name connects the confection to a travel-era story rather than to an ingredient. Freshly made dumplings are at their best while the surface is still soft and the glaze glossy.,"01 Rice Flour Dumplings
 Steamed and shaped rice dough provides the soft, chewy body.; 02 Sweet Bean or Soy-Based Topping
 Depending on the style, the dumplings may be finished with sweet red bean paste or a savory-sweet glaze.; 03 Sugar
 Sugar balances the toppings and gives the finished skewer its characteristic sweetness.",yah-ree-kah-keh dahn-goh,,"Three-Dumpling Skewer
 Round dumplings are lined up closely on a bamboo stick for an immediately recognizable silhouette.; Glossy Sweet-Soy Finish
 The savory version is coated in a dark, glossy sauce that clings to the rice cakes.; Soft White Rice Cakes
 The dumplings retain a smooth, compact surface with a pleasantly chewy bite.",Link
yuyu-toden-wagashi,Yuyu Toden - Wagashi,ゆうゆう都電（和菓子）,kanto,tokyo,"A traditional Japanese confection shaped like the tramcars of the Toden Arakawa Line, created as a playful local souvenir from Arakawa. Sold as a shop-exclusive wagashi in Machiya, it connects a familiar streetcar image with a soft, sweet confectionary format.",All year,local specialty,"Vegan, contains wheat",200,600,Published,Vegetarian;Halal;Quick bite,Verified vegetarian,Verified halal,TRUE,Yuyu Toden was developed as a confection associated with the Toden Arakawa Line and is sold exclusively at the Machiya shop of Chikuryuan Okano. Its design turns a well-known Arakawa transport symbol into a local sweet.,,The confection is especially popular with children because the tram shape is easy to recognize. It is also a local souvenir tied directly to the neighborhood where the streetcar runs.,"01 Sweet Bean Filling
 Sweet bean paste provides the familiar wagashi center.; 02 Rice-Based Confectionery Dough
 A soft Japanese confectionery exterior holds the molded tram shape.; 03 Sugar
 Sugar provides the characteristic sweetness of the finished wagashi.",yoo-yoo toh-den wah-gah-she,,"Tram-Shaped Silhouette
 Each confection uses a small streetcar form that is immediately recognizable.; Soft Wagashi Exterior
 The surface is smooth and carefully molded to hold the vehicle shape.; Compact Souvenir Size
 Individual pieces are sized for easy gifting and casual snacking.",Link
